Student_ID,Gender,Department,Study_Hours,Sleep_Duration,Work_Life_Balance
1001,Female,Science,3.3,7.3,0.45
1002,Male,Engineering,7.2,5.5,1.31
1003,Male,Medical,2.3,5.4,0.43
1004,Male,Engineering,2,8.1,0.25
1005,Male,Arts,2.6,6.8,0.38
1006,Female,Medical,3.5,6.5,0.54
1007,Male,Science,4,4.4,0.91
1008,Male,Engineering,3.4,7,0.49
1009,Male,Business,8.6,4.8,1.79
1010,Male,Engineering,1.5,5.7,0.26
1011,Male,Science,4.4,3.8,1.16
1012,Female,Business,1.5,5.4,0.28
1013,Male,Engineering,6.5,5.1,1.27
1014,Female,Medical,4.9,5.5,0.89
1015,Female,Arts,0.6,5.1,0.12
1016,Male,Arts,5.9,7.6,0.78
1017,Female,Arts,3.8,5.3,0.72
1018,Male,Business,2,5.9,0.34
1019,Female,Medical,3.4,7.3,0.47
1020,Female,Engineering,4.4,7.9,0.56
1021,Female,Medical,3.6,9.9,0.36
1022,Female,Science,3.1,7.6,0.41
1023,Female,Science,0.8,6,0.13
1024,Male,Arts,4.8,7.9,0.61
1025,Male,Science,2.4,10.7,0.22
1026,Female,Business,7.2,9.9,0.73
1027,Female,Science,3.7,8.4,0.44
1028,Male,Engineering,7.9,4.9,1.61
1029,Male,Business,4.4,5.9,0.75
1030,Female,Engineering,2.4,6,0.4
1031,Male,Medical,0.3,10.5,0.03
1032,Male,Arts,3.7,8.1,0.46
1033,Male,Engineering,3,9.1,0.33
1034,Female,Engineering,4.5,8.5,0.53
1035,Female,Arts,7.3,6.2,1.18
1036,Female,Engineering,4,8.6,0.47
1037,Female,Engineering,2.3,6.3,0.37
1038,Male,Medical,6.6,8.4,0.79
1039,Female,Arts,5.7,7.1,0.8
1040,Male,Arts,6.2,8,0.78
1041,Female,Science,4.3,7.4,0.58
1042,Female,Medical,3.8,4.6,0.83
1043,Female,Business,1.1,7.6,0.14
1044,Female,Arts,4.9,8.1,0.6
1045,Female,Business,1.6,6.9,0.23
1046,Female,Medical,7,4.6,1.52
1047,Female,Arts,4.2,7,0.6
1048,Female,Arts,3.2,6.4,0.5
1049,Male,Science,0.5,4.5,0.11
1050,Female,Medical,3.5,5.1,0.69
1051,Female,Science,5.5,9.3,0.59
1052,Female,Arts,3.2,4.6,0.7
1053,Male,Business,5.4,7.5,0.72
1054,Female,Arts,2.3,9.6,0.24
1055,Male,Medical,5.2,7,0.74
1056,Male,Arts,3.7,6.9,0.54
1057,Male,Arts,4.8,7.9,0.61
1058,Male,Engineering,4.6,6,0.77
1059,Female,Business,6.9,7.8,0.88
1060,Female,Engineering,4.2,7.4,0.57
1061,Female,Business,4.4,8.2,0.54
1062,Female,Business,1.3,4.6,0.28
1063,Male,Engineering,6.4,4.8,1.33
1064,Male,Medical,0,6.2,0
1065,Female,Business,7.3,7,1.04
1066,Female,Medical,2.3,7.6,0.3
1067,Female,Business,2.6,6.5,0.4
1068,Female,Engineering,3.8,3,1.27
1069,Female,Medical,3.7,5.4,0.69
1070,Female,Business,4,4.2,0.95
1071,Male,Arts,2.6,7,0.37
1072,Female,Business,6.1,8.2,0.74
1073,Male,Business,2.9,5.3,0.55
1074,Female,Medical,5.2,6.9,0.75
1075,Male,Engineering,0.5,6.6,0.08
1076,Male,Medical,2.8,5.7,0.49
1077,Female,Engineering,6.3,6.1,1.03
1078,Female,Arts,3.7,8.4,0.44
1079,Male,Medical,3.7,5.8,0.64
1080,Male,Business,4.6,8,0.57
1081,Female,Engineering,3.6,3,1.2
1082,Female,Business,8.7,6.7,1.3
1083,Male,Engineering,1.4,6.7,0.21
1084,Female,Science,7.4,3.6,2.06
1085,Male,Business,1.9,8.8,0.22
1086,Female,Engineering,4.4,8.9,0.49
1087,Female,Arts,4.1,5.6,0.73
1088,Male,Engineering,4.8,6.7,0.72
1089,Male,Arts,1.6,8.9,0.18
1090,Male,Arts,4.4,5.8,0.76
1091,Male,Medical,6,6.3,0.95
1092,Male,Arts,3,6.2,0.48
1093,Male,Medical,2.8,7.4,0.38
1094,Male,Medical,6,10,0.6
1095,Female,Business,1.7,6.6,0.26
1096,Female,Business,6,8.1,0.74
1097,Male,Arts,5.4,7.5,0.72
1098,Male,Arts,3.4,4.7,0.72
1099,Female,Business,3.3,9,0.37
1100,Female,Medical,2.9,7.1,0.41
1101,Female,Medical,6.1,8.3,0.73
1102,Female,Engineering,6.1,8.3,0.73
1103,Female,Medical,3.3,6.4,0.52
1104,Male,Arts,6.7,8.4,0.8
1105,Male,Medical,5.9,7.5,0.79
1106,Male,Business,4.9,7,0.7
1107,Female,Medical,6.7,5.1,1.31
1108,Female,Science,3.9,7.3,0.53
1109,Male,Engineering,5.6,8.8,0.64
1110,Female,Science,4.8,7.2,0.67
1111,Female,Arts,2.7,5.7,0.47
1112,Female,Business,6.5,8,0.81
1113,Male,Engineering,1.6,7.8,0.21
1114,Male,Business,3.5,6.4,0.55
1115,Female,Arts,3.2,5.1,0.63
1116,Female,Arts,4.1,5.7,0.72
1117,Male,Arts,7.6,7,1.09
1118,Female,Arts,4.7,9,0.52
1119,Female,Business,5.8,7.6,0.76
1120,Female,Medical,6,8.9,0.67
1121,Male,Arts,4.6,6.8,0.68
1122,Female,Business,6.4,9.9,0.65
1123,Female,Engineering,6.1,6.7,0.91
1124,Female,Science,6.3,7.9,0.8
1125,Male,Engineering,3.1,9.6,0.32
1126,Male,Science,1.9,5.4,0.35
1127,Male,Engineering,3.6,5.2,0.69
1128,Female,Science,6.4,6,1.07
1129,Female,Medical,2.1,4.8,0.44
1130,Male,Arts,4,8.1,0.49
1131,Female,Business,5.2,6.8,0.76
1132,Male,Engineering,6.4,5.2,1.23
1133,Male,Medical,7.5,6.6,1.14
1134,Female,Science,5.9,5.6,1.05
1135,Female,Science,0.6,8.2,0.07
1136,Male,Medical,6.7,8.6,0.78
1137,Male,Science,6.1,6.8,0.9
1138,Male,Science,6.5,6,1.08
1139,Male,Arts,2.2,4.5,0.49
1140,Male,Medical,5.4,6.5,0.83
1141,Female,Engineering,4,4,1
1142,Male,Arts,7.3,6.2,1.18
1143,Female,Engineering,3.4,8,0.42
1144,Male,Science,4.5,6.2,0.73
1145,Male,Medical,4.4,6.4,0.69
1146,Male,Science,3.1,6.4,0.48
1147,Male,Engineering,4,9.2,0.43
1148,Female,Business,3.7,7.5,0.49
1149,Male,Science,4,8.1,0.49
1150,Female,Engineering,0.9,8.6,0.1
1151,Female,Science,6.4,9.5,0.67
1152,Male,Science,6.2,7.6,0.82
1153,Female,Science,6.5,5,1.3
1154,Male,Engineering,2.8,8.4,0.33
1155,Male,Science,5.2,10.7,0.49
1156,Female,Science,5.8,5.5,1.05
1157,Male,Business,3.1,6.7,0.46
1158,Male,Engineering,3.2,7.8,0.41
1159,Male,Engineering,2.3,6.6,0.35
1160,Female,Business,4.6,9.5,0.48
1161,Female,Science,6.6,8,0.82
1162,Female,Science,4.3,7.4,0.58
1163,Male,Business,2.7,5,0.54
1164,Male,Science,1.9,7.4,0.26
1165,Female,Engineering,3.5,5.1,0.69
1166,Female,Business,3.4,8.9,0.38
1167,Female,Arts,2.1,6.9,0.3
1168,Female,Business,6.3,9.3,0.68
1169,Female,Science,5.8,6.1,0.95
1170,Female,Medical,2.1,7.1,0.3
1171,Female,Science,2.4,6.3,0.38
1172,Male,Medical,2.3,4.6,0.5
1173,Female,Medical,6,5.7,1.05
1174,Male,Arts,6.7,9.1,0.74
1175,Male,Engineering,5.4,7.3,0.74
1176,Female,Engineering,1.8,5.8,0.31
1177,Female,Science,3.9,6,0.65
1178,Female,Science,2.9,6.7,0.43
1179,Female,Business,4.9,6.1,0.8
1180,Female,Arts,2.1,7.8,0.27
1181,Male,Engineering,4.3,5.7,0.75
1182,Female,Medical,6,6.5,0.92
1183,Male,Science,7.5,6.1,1.23
1184,Male,Medical,4.7,6.2,0.76
1185,Male,Science,5.1,8.3,0.61
1186,Male,Arts,6,4.5,1.33
1187,Male,Business,7.8,7.9,0.99
1188,Male,Business,2.8,8.2,0.34
1189,Female,Science,0,7.1,0
1190,Female,Arts,5.9,5.2,1.13
1191,Male,Science,7.8,4.8,1.62
1192,Female,Medical,3.7,7.4,0.5
1193,Male,Arts,2.3,5.5,0.42
1194,Female,Science,0.9,4.5,0.2
1195,Female,Medical,6.9,8.7,0.79
1196,Male,Business,3.9,8.3,0.47
1197,Female,Engineering,4.1,6.3,0.65
1198,Female,Science,7.3,8.5,0.86
1199,Male,Engineering,5,9.3,0.54
1200,Male,Arts,7.2,7.9,0.91
1201,Female,Medical,7.7,9.5,0.81
1202,Male,Science,4.8,5,0.96
1203,Female,Medical,3.6,10.9,0.33
1204,Male,Business,9.6,5.5,1.75
1205,Male,Engineering,3.5,5.2,0.67
1206,Male,Medical,3.8,6.8,0.56
1207,Female,Business,5.8,9.5,0.61
1208,Male,Engineering,6.2,6.1,1.02
1209,Female,Science,3.3,6,0.55
1210,Female,Science,3.8,7.2,0.53
1211,Male,Engineering,3.7,4.5,0.82
1212,Male,Engineering,4.2,4.6,0.91
1213,Male,Business,2.2,4.6,0.48
1214,Male,Medical,4.1,7.4,0.55
1215,Female,Business,5.3,6.7,0.79
1216,Male,Science,3.9,7,0.56
1217,Female,Engineering,5.2,8.7,0.6
1218,Female,Engineering,4.4,8.2,0.54
1219,Female,Science,5.1,8.9,0.57
1220,Female,Engineering,0,7.5,0
1221,Male,Business,3.9,8.5,0.46
1222,Female,Business,2.2,8.4,0.26
1223,Female,Engineering,5.3,6.4,0.83
1224,Male,Arts,5.7,6.5,0.88
1225,Male,Medical,4.6,6.4,0.72
1226,Male,Medical,8,7.2,1.11
1227,Male,Science,3.9,6.7,0.58
1228,Male,Business,4,6.6,0.61
1229,Female,Arts,3.6,7.5,0.48
1230,Male,Arts,6.9,5,1.38
1231,Female,Arts,4.5,9.1,0.49
1232,Female,Engineering,1.6,8.9,0.18
1233,Male,Medical,2.3,5,0.46
1234,Male,Engineering,1.7,7.7,0.22
1235,Female,Medical,3.6,3.4,1.06
1236,Male,Engineering,4,8.3,0.48
1237,Female,Science,7.1,7.8,0.91
1238,Female,Science,4.3,5.3,0.81
1239,Male,Business,6.5,7.5,0.87
1240,Female,Medical,4.4,8.9,0.49
1241,Female,Engineering,6,8.6,0.7
1242,Female,Arts,3,5.3,0.57
1243,Male,Science,3.2,11.6,0.28
1244,Female,Engineering,3.2,6.8,0.47
1245,Female,Engineering,7.5,8.3,0.9
1246,Female,Arts,4,7.5,0.53
1247,Male,Medical,5.7,7.6,0.75
1248,Female,Business,4.5,4.5,1
1249,Female,Arts,0.9,6.5,0.14
1250,Female,Engineering,7.4,5.9,1.25
1251,Female,Engineering,5.9,8,0.74
1252,Female,Arts,4.6,4.1,1.12
1253,Female,Arts,6.8,8.1,0.84
1254,Male,Engineering,5.8,8,0.72
1255,Male,Medical,3.7,6.4,0.58
1256,Female,Science,3.1,4.7,0.66
1257,Male,Business,4.3,9.3,0.46
1258,Female,Engineering,4.7,7.4,0.64
1259,Male,Medical,1.8,5.3,0.34
1260,Male,Business,1.2,5.7,0.21
1261,Female,Medical,6.7,7.8,0.86
1262,Female,Business,4.9,7.1,0.69
1263,Female,Arts,6.4,4.9,1.31
1264,Female,Science,8.3,8.2,1.01
1265,Female,Science,1.4,7.8,0.18
1266,Male,Business,3.7,8.5,0.44
1267,Male,Medical,3.5,6.5,0.54
1268,Male,Medical,3.8,7.2,0.53
1269,Male,Arts,3.7,6.9,0.54
1270,Male,Arts,3.6,8.8,0.41
1271,Male,Medical,4.2,8.4,0.5
1272,Female,Business,2.7,10.3,0.26
1273,Female,Business,6,8,0.75
1274,Female,Science,4.8,8.3,0.58
1275,Male,Science,2.8,6.6,0.42
1276,Male,Science,4.8,4.9,0.98
1277,Female,Arts,6.2,6.9,0.9
1278,Male,Science,4.2,6.4,0.66
1279,Female,Arts,5.5,7.5,0.73
1280,Female,Arts,5.7,6.4,0.89
1281,Male,Business,1.5,8.7,0.17
